20211126-201926<ERROR:00009ECC>: GetInteger(164, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(164, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(164, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(165, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(165, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(165, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(165, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(166, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(166, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(166, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(166, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(167, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(167, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(167, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(167, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(168, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(168, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(168, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(168, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(169, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(169, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(169, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(169, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(170, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(170, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(170, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(170, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(171, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(171, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(171, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(171, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(172, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(172, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(172, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(172, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(173, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(173, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(173, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(173, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(174, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(174, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(174, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(174, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(175, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(175, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(175, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(175, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(176, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(176, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(176, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(176, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(177, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(177, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(177, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(177, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(178, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(178, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(178, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(178, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(179, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(179, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(179, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(179, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(180, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(180, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(180, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(180, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(181, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(181, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(181, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(181, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(182, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(182, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(182, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(182, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(183, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(183, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(183, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(183, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(184, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(184, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(184, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(184, Content) failed !
20211126-201942<DEBUG:00009ECC>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-201942<ERROR:00009ECC>: GetString(366, 2) failed !
